0;-62,6
1;-62,0
2;-68,0
3;-62,0
4;-76,4
5;-72,0
6;-64,3
7;-68,9
8;-73,8
9;-67,5
10;-67,3
11;-71,9
12;-68,6
13;-75,1
14;-65,8
15;-72,8
16;-73,9
17;-68,1
18;-72,8
19;-63,6
20;-77,2
21;-74,2
22;-66,0
23;-69,1
24;-76,0
25;-66,2
26;-61,4
27;-65,2
28;-63,0
29;-65,6
30;-58,1
31;-56,1
32;-61,3
33;-62,8
34;-46,7
35;-49,2
36;-50,7
37;-53,6
38;-52,0
39;-41,3
40;-43,5
41;-41,8
42;-42,6
43;-28,3
44;-26,7
45;-31,2
46;-32,7
47;-22,9
48;-11,3
49;-20,2
50;-18,7
51;-3,4
52;3,0
53;7,7
54;10,6
55;13,8
56;21,8
57;24,0
58;23,1
59;33,0
60;26,5
61;28,3
62;24,8
63;29,0
64;12,6
65;9,5
66;0,5
67;-9,8
68;-25,1
69;-23,2
70;-37,0
71;-48,9
72;-51,4
73;-63,5
74;-67,6
75;-71,0
76;-73,3
77;-71,8
78;-86,9
79;-84,3
80;-83,5
81;-86,9
82;-80,6
83;-83,3
84;-90,1
85;-83,3
86;-89,8
87;-80,3
88;-83,5
89;-81,0
90;-79,6
91;-78,7
92;-86,0
93;-86,5
94;-82,2
95;-86,3
96;-89,5
97;-88,1
98;-85,0
99;-75,8
100;-74,1
101;-81,0
102;-80,1
103;-75,6
104;-85,4
105;-76,5
106;-81,5
107;-70,8
108;-83,5
109;-76,0
110;-77,9
111;-69,5
112;-81,8
113;-75,2
114;-78,7
115;-77,0
116;-68,9
117;-74,9
118;-71,4
119;-79,2
120;-67,9
121;-74,2
122;-71,0
123;-72,5
124;-72,6
125;-74,3
126;-77,2
127;-71,3
128;-64,9
129;-64,6
130;-62,5
131;-62,7
132;-65,2
133;-67,3
134;-74,0
135;-63,5
136;-72,6
137;-68,8
138;-67,3
139;-64,3
140;-69,7
141;-71,8
142;-73,8
143;-64,2
144;-64,0
145;-64,8
146;-66,8
147;-69,0
148;-66,2
149;-63,6
150;-70,8
151;-58,9
152;-70,4
153;-71,5
154;-71,6
155;-65,4
156;-72,0
157;-64,1
158;-60,3
159;-63,1
160;-57,8
161;-67,2
162;-60,1
163;-67,7
164;-67,4
165;-64,9
166;-64,9
167;-60,1
168;-56,9
169;-59,3
170;-69,6
171;-56,4
172;-59,7
173;-61,9
174;-66,8
175;-69,3
176;-67,8
177;-59,5
178;-64,6
179;-67,5
180;-61,6
